Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2019-100001,03-02-2019,04-02-2019,Standard Class,CUST-016,Customer 8,Consumer,India,Hyderabad,Gujarat,704442,West,PROD-025,Office Supplies,Accessories,Notebook,18557,1,0.09,5053
2,CA-2019-100002,15-02-2019,18-02-2019,Second Class,CUST-018,Customer 39,Home Office,India,Surat,Gujarat,315526,South,PROD-044,Technology,Storage,Smartphone,18734,1,0.15,4479
3,CA-2019-100003,12-04-2019,16-04-2019,Standard Class,CUST-014,Customer 19,Home Office,India,Ahmedabad,Gujarat,345028,North,PROD-043,Office Supplies,Phones,Table,11944,3,0.14,1825
4,CA-2019-100004,19-03-2019,23-03-2019,Second Class,CUST-008,Customer 43,Home Office,India,Delhi,Tamil Nadu,490840,West,PROD-001,Technology,Paper,Binder,23548,4,0.2,4691
5,CA-2019-100005,19-03-2019,23-03-2019,Second Class,CUST-012,Customer 44,Corporate,India,Pune,Tamil Nadu,393876,West,PROD-053,Technology,Phones,Binder,21073,2,0.14,3238
6,CA-2019-100006,03-05-2019,08-05-2019,Standard Class,CUST-025,Customer 13,Home Office,India,Chennai,Karnataka,822725,South,PROD-042,Office Supplies,Chairs,Headphones,37667,2,0.11,5283
7,CA-2019-100007,25-04-2019,27-04-2019,Standard Class,CUST-016,Customer 41,Consumer,India,Delhi,Karnataka,668282,West,PROD-073,Office Supplies,Binders,Notebook,49370,5,0.11,4781
8,CA-2019-100008,30-07-2019,31-07-2019,Standard Class,CUST-006,Customer 20,Corporate,India,Ahmedabad,Karnataka,454323,North,PROD-050,Technology,Binders,Storage Box,39589,5,0.03,2537
9,CA-2019-100009,13-12-2019,14-12-2019,Standard Class,CUST-003,Customer 45,Corporate,India,Kochi,Telangana,310634,South,PROD-094,Furniture,Tables,Chair,6971,5,0.19,1071
10,CA-2019-100010,25-10-2019,27-10-2019,First Class,CUST-016,Customer 1,Home Office,India,Surat,Kerala,187298,West,PROD-042,Furniture,Accessories,Table,37829,5,0.13,4130
11,CA-2019-100011,06-07-2019,09-07-2019,Second Class,CUST-027,Customer 10,Home Office,India,Hyderabad,Telangana,595736,South,PROD-050,Technology,Tables,Headphones,16972,2,0.07,1982
12,CA-2019-100012,02-06-2019,06-06-2019,First Class,CUST-036,Customer 22,Consumer,India,Chennai,Gujarat,231846,North,PROD-065,Office Supplies,Chairs,Laptop,38812,2,0.2,4873
13,CA-2019-100013,09-06-2019,11-06-2019,First Class,CUST-008,Customer 10,Home Office,India,Bangalore,Karnataka,108345,West,PROD-005,Furniture,Laptops,Smartphone,18530,5,0.2,5188
14,CA-2019-100014,23-06-2019,26-06-2019,Second Class,CUST-034,Customer 38,Corporate,India,Ahmedabad,Rajasthan,639862,South,PROD-013,Technology,Laptops,Notebook,49253,2,0.05,14062
15,CA-2019-100015,08-05-2019,10-05-2019,First Class,CUST-047,Customer 32,Corporate,India,Delhi,Delhi,832274,South,PROD-036,Office Supplies,Tables,Storage Box,808,3,0.08,82
16,CA-2019-100016,15-08-2019,17-08-2019,Standard Class,CUST-021,Customer 4,Corporate,India,Delhi,Telangana,188998,North,PROD-058,Office Supplies,Accessories,Notebook,25975,1,0.09,3389
17,CA-2019-100017,22-01-2019,27-01-2019,Second Class,CUST-032,Customer 14,Consumer,India,Bangalore,Tamil Nadu,970683,West,PROD-036,Furniture,Chairs,Binder,14420,4,0.15,1906
18,CA-2019-100018,17-07-2019,21-07-2019,Standard Class,CUST-038,Customer 47,Home Office,India,Ahmedabad,Tamil Nadu,690553,South,PROD-027,Furniture,Accessories,Binder,14527,1,0.1,2475
19,CA-2019-100019,06-02-2019,10-02-2019,First Class,CUST-050,Customer 13,Home Office,India,Hyderabad,Kerala,578982,North,PROD-024,Technology,Laptops,Laptop,21680,1,0.15,4926
20,CA-2019-100020,26-04-2019,27-04-2019,Second Class,CUST-008,Customer 18,Corporate,India,Bangalore,Tamil Nadu,829134,North,PROD-085,Furniture,Accessories,Chair,8258,4,0.08,1638
21,CA-2019-100021,30-07-2019,02-08-2019,First Class,CUST-001,Customer 45,Consumer,India,Hyderabad,Maharashtra,540296,South,PROD-050,Technology,Laptops,Notebook,31478,3,0.09,2650
22,CA-2019-100022,17-09-2019,18-09-2019,First Class,CUST-021,Customer 22,Consumer,India,Delhi,Rajasthan,817138,North,PROD-012,Furniture,Storage,Laptop,25458,2,0.14,1478
23,CA-2019-100023,23-01-2019,28-01-2019,Standard Class,CUST-021,Customer 16,Consumer,India,Pune,Telangana,607094,West,PROD-008,Technology,Storage,Notebook,28646,5,0.17,5932
24,CA-2019-100024,06-07-2019,09-07-2019,First Class,CUST-036,Customer 34,Home Office,India,Kochi,Kerala,442798,North,PROD-071,Furniture,Phones,Storage Box,6821,3,0.11,780
25,CA-2019-100025,07-01-2019,12-01-2019,Standard Class,CUST-036,Customer 6,Home Office,India,Hyderabad,Maharashtra,368879,North,PROD-073,Office Supplies,Storage,Notebook,57064,1,0.03,9301
26,CA-2019-100026,18-12-2019,19-12-2019,Standard Class,CUST-012,Customer 6,Corporate,India,Chennai,Delhi,642460,North,PROD-045,Office Supplies,Phones,Binder,2936,4,0.15,154
27,CA-2019-100027,17-07-2019,20-07-2019,Standard Class,CUST-044,Customer 38,Home Office,India,Kochi,Tamil Nadu,881635,West,PROD-010,Furniture,Paper,Table,38162,4,0.03,10319
28,CA-2019-100028,21-06-2019,22-06-2019,Second Class,CUST-032,Customer 16,Corporate,India,Mumbai,Delhi,417322,North,PROD-055,Office Supplies,Phones,Binder,36265,4,0.08,8403
29,CA-2019-100029,15-04-2019,18-04-2019,Second Class,CUST-046,Customer 3,Consumer,India,Jaipur,Maharashtra,198825,West,PROD-002,Technology,Paper,Laptop,59196,3,0.03,17418
30,CA-2019-100030,17-03-2019,20-03-2019,Standard Class,CUST-004,Customer 47,Home Office,India,Chennai,Maharashtra,849563,South,PROD-040,Office Supplies,Binders,Chair,21671,5,0.17,3170
31,CA-2019-100031,07-06-2019,08-06-2019,Second Class,CUST-027,Customer 33,Corporate,India,Chennai,Delhi,563078,West,PROD-050,Office Supplies,Phones,Chair,58090,5,0.04,17226
32,CA-2019-100032,12-09-2019,17-09-2019,Standard Class,CUST-019,Customer 14,Consumer,India,Jaipur,Gujarat,459148,South,PROD-093,Technology,Binders,Storage Box,54113,2,0.02,11211
33,CA-2019-100033,20-11-2019,24-11-2019,Standard Class,CUST-047,Customer 46,Home Office,India,Chennai,Rajasthan,243503,West,PROD-012,Office Supplies,Chairs,Headphones,8291,3,0.04,2242
